matchResult,redCards,yellowCards,possession,shootTotal,goalTotal,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,passTry,passRate,shortPassSuccess,shortpassRate,longpassSuccess,longpassRate,tackleTry,tackleSuccess,shootSetPiece,shootPenaltyKick,effectiveShootTotal,goalPenaltyKick,ownGoal
3,0,0,49,3,2,3,2,0,0,105,0.942857143,81,1,1,0.25,13,11,0,0,2,0,0
3,0,0,50,7,4,7,4,0,0,96,0.947916667,65,0.984848485,3,1,9,8,1,0,6,0,0
0,0,0,54,4,0,3,0,1,0,109,0.871559633,79,0.9875,1,0.1,10,9,5,0,3,0,0
3,0,0,51,7,6,7,6,0,0,92,0.934782609,64,0.96969697,1,0.333333333,7,5,2,0,7,0,0
0,0,1,53,0,0,0,0,0,0,106,0.943396226,79,0.975308642,0,0,7,4,0,0,0,0,0
3,0,0,52,2,0,1,0,1,0,135,0.911111111,89,0.967391304,7,0.5,17,13,1,0,1,0,0
3,0,0,49,5,2,5,2,0,0,130,0.907692308,86,0.977272727,7,0.636363636,11,8,1,0,4,0,0
3,0,0,44,6,4,5,4,1,0,76,0.881578947,49,0.960784314,2,0.5,15,11,2,0,4,0,0
0,0,0,46,2,0,2,0,0,0,77,0.883116883,49,0.960784314,0,0,8,7,2,0,2,0,0
0,0,0,56,8,2,4,0,4,2,158,0.917721519,114,0.974358974,4,0.363636364,13,11,2,0,6,0,0
1,0,0,42,0,0,0,0,0,0,76,0.986842105,52,0.981132075,2,1,9,5,0,0,0,0,0
3,0,0,49,5,2,2,1,2,0,90,0.933333333,72,0.972972973,1,0.25,11,8,2,1,3,1,0
3,0,0,52,7,2,7,2,0,0,97,0.87628866,59,1,1,0.142857143,9,7,4,0,6,0,0
0,0,0,55,6,1,6,1,0,0,114,0.947368421,78,0.975,5,0.555555556,10,8,2,0,4,0,0
0,0,0,42,1,1,0,1,0,0,84,0.916666667,64,0.96969697,0,0,15,12,0,0,1,0,0
0,0,0,48,3,0,2,0,1,0,93,0.913978495,63,0.969230769,1,0.2,12,10,1,0,1,0,0
3,0,0,48,2,1,1,1,0,0,84,0.916666667,57,0.982758621,3,0.6,7,5,0,1,2,0,0
3,0,0,55,5,2,1,1,4,1,107,0.934579439,74,0.986666667,1,0.5,10,8,0,0,3,0,0
1,0,0,48,3,2,2,2,0,0,116,0.956896552,81,0.987804878,3,0.5,5,4,0,0,3,0,0
0,0,0,48,3,0,3,0,0,0,92,0.923913043,66,1,3,0.5,11,7,0,0,1,0,0
3,0,0,47,5,3,4,3,1,0,73,0.945205479,44,1,2,0.5,8,2,2,0,3,0,0
1,0,0,47,2,0,2,0,0,0,102,0.882352941,68,0.957746479,0,0,9,5,3,0,1,0,0
3,0,1,59,9,4,6,3,2,1,108,0.962962963,81,0.964285714,3,1,12,5,1,0,8,0,0
3,0,0,48,7,3,4,2,2,0,90,0.944444444,64,0.984615385,2,0.666666667,14,11,2,1,5,1,0
0,0,0,48,6,1,4,0,2,1,101,0.910891089,67,0.985294118,5,0.454545455,5,5,3,0,4,0,0
3,0,0,54,13,2,8,2,5,0,120,0.858333333,76,0.974358974,2,0.142857143,12,9,7,0,8,0,0
0,0,0,51,3,1,2,1,1,0,108,0.953703704,73,1,1,0.5,9,8,2,0,2,0,0
3,0,0,46,5,4,2,2,0,1,86,0.930232558,61,0.983870968,2,0.5,12,9,1,2,5,1,0
3,0,0,48,2,2,1,1,1,1,97,0.927835052,65,0.902777778,2,1,7,6,0,0,2,0,0
0,0,0,46,4,2,3,2,1,0,98,0.93877551,73,0.986486486,1,0.333333333,9,4,0,0,3,0,0
0,0,0,50,5,2,3,2,2,0,132,0.939393939,95,0.969387755,2,0.4,14,8,1,0,2,0,0
0,0,1,47,2,1,0,0,2,1,86,0.930232558,62,0.96875,2,0.4,13,9,0,0,2,0,0
3,0,0,52,6,3,4,3,2,0,94,0.936170213,69,1,2,0.5,13,9,1,0,4,0,0
3,0,1,47,3,1,2,1,0,0,85,0.941176471,57,0.982758621,1,1,12,7,0,1,3,0,0
0,0,1,48,6,0,4,0,2,0,94,0.904255319,61,0.938461538,2,0.4,10,7,0,0,3,0,0
0,0,0,50,4,1,4,1,0,0,109,0.908256881,77,1,5,0.454545455,9,5,2,0,2,0,0
0,0,0,49,8,0,6,0,2,0,88,0.829545455,53,0.929824561,2,0.181818182,10,9,6,0,8,0,0
1,0,0,45,2,1,2,1,0,0,71,0.929577465,49,1,0,0,12,10,0,0,1,0,0
0,0,0,52,2,0,2,0,0,0,99,0.939393939,67,1,1,0.2,5,5,1,0,1,0,0
1,0,0,48,3,2,2,1,1,1,88,0.863636364,61,0.968253968,1,0.142857143,10,6,1,0,3,0,0
0,0,0,46,2,1,2,1,0,0,127,0.937007874,88,0.956521739,3,0.75,13,9,0,0,1,0,0
3,0,0,47,3,3,2,2,1,1,81,0.962962963,60,0.967741935,3,1,11,5,0,0,3,0,0
0,0,0,53,2,0,0,0,2,0,99,0.949494949,68,0.971428571,5,0.625,7,6,0,0,0,0,0
0,0,0,51,4,1,3,1,1,0,98,0.979591837,72,0.98630137,2,0.666666667,10,7,1,0,3,0,0
3,0,0,56,10,2,6,1,3,0,115,0.904347826,85,0.965909091,1,0.2,12,6,3,1,8,1,0
0,0,0,50,3,0,3,0,0,0,83,0.879518072,53,0.946428571,1,0.2,8,7,2,0,2,0,0
3,0,0,44,4,4,3,3,1,1,82,0.926829268,54,0.964285714,3,0.6,10,9,0,0,4,0,0
0,0,1,52,5,0,5,0,0,0,89,0.898876404,57,0.95,1,0.2,13,10,2,0,4,0,0
3,0,1,47,4,3,1,1,3,2,89,0.93258427,63,0.969230769,3,0.75,17,12,0,0,3,0,0
3,0,0,44,10,2,7,2,3,0,84,0.916666667,60,0.967741935,2,0.666666667,6,4,1,0,4,0,0
0,0,0,49,9,2,7,1,2,1,138,0.956521739,96,0.979591837,3,0.5,21,12,0,0,5,0,0
0,0,1,51,5,3,4,2,1,1,93,0.956989247,60,1,1,0.25,8,6,1,0,5,0,0
3,0,0,46,4,0,2,0,2,0,103,0.893203883,72,0.972972973,1,0.2,14,13,1,0,3,0,0
0,0,0,55,5,1,3,1,2,0,99,0.909090909,65,0.970149254,3,0.333333333,10,7,2,0,3,0,0
1,0,1,55,3,2,2,1,0,0,120,0.958333333,85,0.977011494,0,0,9,5,1,1,2,1,0
3,0,0,56,10,2,9,2,1,0,103,0.922330097,70,0.945945946,1,0.333333333,9,8,1,0,7,0,0
0,0,0,46,2,0,2,0,0,0,83,0.879518072,49,0.942307692,3,0.375,4,3,2,0,2,0,0
1,0,0,51,0,0,0,0,0,0,105,0.961904762,72,1,3,1,8,7,0,0,0,0,0
0,0,0,49,1,0,1,0,0,0,86,0.941860465,64,0.96969697,1,0.333333333,15,9,0,0,0,0,0
3,0,0,55,9,2,7,2,1,0,95,0.947368421,68,1,2,0.4,10,7,2,0,8,0,0
0,0,0,49,2,0,2,0,0,0,97,0.917525773,63,1,3,0.428571429,10,9,2,0,1,0,0
3,0,0,50,8,3,8,3,0,0,91,0.923076923,62,0.984126984,1,0.166666667,9,8,3,0,8,0,0
1,0,0,53,5,2,4,2,1,0,115,0.913043478,73,1,3,0.333333333,13,11,2,0,4,0,0
0,0,0,49,7,1,3,1,4,0,91,0.934065934,58,1,1,0.2,9,7,2,0,3,0,0
3,0,0,46,3,2,2,2,1,0,69,0.913043478,42,0.954545455,2,0.5,13,12,0,0,3,0,1
0,0,0,44,3,1,1,1,2,0,84,0.928571429,53,0.981481481,2,0.5,10,8,0,0,2,0,0
3,0,0,53,8,3,7,2,1,1,143,0.923076923,101,0.961904762,2,0.333333333,10,7,1,0,6,0,0
3,0,0,51,7,2,7,2,0,0,99,0.949494949,66,1,1,0.333333333,9,9,1,0,5,0,0
1,0,1,48,2,1,2,1,0,0,86,0.906976744,61,0.968253968,0,0,12,12,0,0,2,0,0
3,0,0,51,11,3,8,1,3,2,94,0.968085106,64,0.984615385,2,0.666666667,11,8,1,0,6,0,0
1,0,0,48,6,1,6,1,0,0,90,0.922222222,57,0.966101695,3,0.6,14,8,2,0,4,0,0
3,0,0,49,4,1,4,1,0,0,87,0.954022989,59,0.967213115,1,1,13,9,0,0,3,0,0
3,0,0,58,5,3,5,3,0,0,102,0.941176471,78,0.987341772,0,0,12,8,2,0,4,0,0
3,0,0,45,2,2,2,2,0,0,79,0.898734177,49,0.924528302,3,0.5,11,10,1,0,2,0,0
3,0,0,48,6,1,3,1,3,0,98,0.918367347,71,0.986111111,3,0.428571429,12,10,2,0,4,0,0
0,0,0,50,6,1,5,1,1,0,104,0.932692308,70,0.972222222,2,0.333333333,7,5,3,0,3,0,0
3,0,0,56,4,2,4,2,0,0,121,0.909090909,83,0.954022989,4,0.444444444,8,7,4,0,3,0,0
3,0,0,46,7,4,6,3,1,1,88,0.965909091,66,0.985074627,3,1,10,7,1,0,6,0,0
3,0,0,48,7,4,6,4,1,0,80,0.9125,48,0.979591837,2,1,17,15,1,0,6,0,0
3,0,0,48,6,2,5,1,1,1,89,0.943820225,55,0.982142857,2,0.666666667,14,7,1,0,5,0,0
3,0,0,53,4,2,3,2,1,0,147,0.93877551,112,0.98245614,2,0.5,8,8,0,0,2,0,0
3,0,0,48,9,1,7,0,2,1,135,0.903703704,88,0.977777778,2,0.2,14,10,5,0,9,0,0
3,0,0,49,7,2,7,2,0,0,130,0.938461538,97,0.96039604,2,0.5,18,16,1,0,5,0,0
3,0,0,51,6,2,5,2,1,0,97,0.865979381,61,0.953125,1,0.142857143,10,9,5,0,5,0,0
0,0,0,53,3,0,3,0,0,0,108,0.944444444,83,1,1,0.333333333,11,10,0,0,1,0,0
0,0,0,53,16,1,8,1,8,0,101,0.871287129,67,0.985294118,3,0.214285714,6,5,8,0,8,0,0
3,1,0,55,5,2,3,1,2,1,107,0.934579439,76,0.974358974,2,0.666666667,11,8,1,0,3,0,0
3,0,0,60,5,1,4,1,1,0,111,0.900900901,82,0.987951807,3,0.428571429,8,6,2,0,2,0,0
0,0,0,49,2,0,2,0,0,0,130,0.9,88,0.946236559,3,0.5,13,11,1,0,1,0,0
3,0,0,55,9,2,5,2,3,0,148,0.939189189,104,1,0,0,14,10,5,0,7,0,0
3,0,0,45,4,1,3,1,1,0,79,0.936708861,53,1,3,0.6,16,13,1,0,3,0,0
3,0,0,44,2,1,1,1,1,0,71,0.901408451,41,1,3,0.375,18,13,2,0,2,0,0
3,0,1,60,6,1,3,1,3,0,133,0.947368421,91,0.947916667,2,0.666666667,11,8,0,0,4,0,0
3,0,0,46,6,3,6,3,0,0,80,0.9625,57,0.982758621,3,1,9,7,0,0,4,0,0
3,0,1,48,7,3,5,3,2,0,100,0.93,65,0.970149254,2,0.5,9,8,2,0,6,0,0
0,0,0,51,7,0,3,0,4,0,106,0.933962264,71,0.97260274,5,0.714285714,10,5,2,0,6,0,0
3,0,0,46,3,1,2,1,1,0,90,0.911111111,66,0.985074627,0,0,12,8,1,0,1,0,0
1,0,0,46,6,1,3,1,3,0,89,0.93258427,60,0.952380952,2,0.5,9,8,2,0,5,0,0
0,0,0,45,4,1,1,1,3,0,100,0.92,66,0.970588235,1,0.25,10,6,1,0,3,0,0
0,0,0,52,5,1,3,1,2,0,102,0.901960784,70,0.972222222,1,0.25,9,8,2,0,3,0,0
3,0,0,52,3,2,2,1,1,1,110,0.963636364,85,0.988372093,1,0.333333333,12,11,0,0,2,0,0
0,0,0,48,9,0,7,0,2,0,82,0.951219512,53,1,5,0.833333333,8,7,4,0,6,0,0
0,0,0,52,7,0,4,0,3,0,103,0.932038835,68,1,4,0.5,6,6,3,0,5,0,0
3,0,1,50,5,1,4,1,1,0,92,0.913043478,63,0.954545455,1,0.333333333,12,10,1,0,4,0,0
0,0,0,43,2,1,2,1,0,0,67,0.955223881,50,0.980392157,1,0.333333333,10,9,1,0,1,0,0
3,0,0,53,6,2,4,1,2,1,102,0.950980392,70,1,2,0.666666667,10,8,1,0,6,0,0
0,0,0,45,2,0,1,0,1,0,92,0.891304348,55,0.964912281,1,0.25,5,4,1,0,0,0,0
3,0,0,46,3,2,3,2,0,0,86,0.941860465,60,0.983606557,1,0.25,14,11,0,0,3,0,0
3,0,0,48,4,3,3,2,1,1,100,0.95,70,0.985915493,1,0.5,10,9,1,0,4,0,0
3,0,0,50,6,2,6,2,0,0,94,0.914893617,63,0.984375,3,0.375,6,5,4,0,4,0,0
1,0,0,50,3,1,1,0,1,0,96,0.927083333,62,0.96875,4,0.571428571,16,11,0,1,2,1,0
3,0,0,53,5,3,4,2,1,1,98,0.908163265,69,0.958333333,2,0.333333333,13,12,1,0,5,0,0
3,0,0,40,3,1,1,1,1,0,63,0.904761905,37,0.973684211,2,0.5,7,3,0,1,2,0,0
3,0,0,50,4,3,3,2,1,1,101,0.900990099,69,0.985714286,0,0,8,8,3,0,4,0,0
3,0,0,52,5,2,2,0,3,2,99,0.919191919,71,0.959459459,2,0.5,9,9,1,0,5,0,0
1,0,1,44,5,1,3,1,1,0,82,0.914634146,56,0.965517241,0,0,14,7,2,0,3,0,0
3,0,0,48,2,1,2,1,0,0,91,0.934065934,59,0.967213115,4,0.8,11,6,0,0,1,0,0
1,0,0,52,2,1,1,0,1,1,84,0.904761905,55,0.948275862,0,0,13,8,1,0,2,0,0
1,0,0,47,4,1,3,1,1,0,86,0.895348837,56,0.98245614,4,0.444444444,10,6,3,0,3,0,0
0,0,0,44,3,0,1,0,2,0,90,0.944444444,65,0.984848485,3,1,5,3,0,0,3,0,0
0,0,0,56,6,0,2,0,4,0,109,0.95412844,78,0.987341772,2,0.333333333,9,9,1,0,3,0,0
1,0,0,42,4,2,3,2,1,0,81,0.913580247,57,0.966101695,0,0,9,7,1,0,3,0,0
1,0,0,49,4,1,4,1,0,0,99,0.929292929,69,0.958333333,3,0.6,9,8,2,0,2,0,0
0,0,0,50,5,1,4,1,0,0,111,0.918918919,79,0.975308642,0,0,14,13,3,1,3,0,0
1,0,0,55,6,1,2,1,4,0,123,0.943089431,92,0.968421053,1,0.2,10,7,1,0,4,0,0
0,0,0,54,2,0,1,0,1,0,114,0.947368421,89,1,0,0,8,8,0,0,1,0,0
1,0,0,47,4,2,4,2,0,0,82,0.93902439,61,1,2,0.666666667,7,6,1,0,3,0,0
3,0,0,47,7,3,7,3,0,0,93,0.870967742,55,0.982142857,2,0.181818182,8,6,3,0,7,0,0
3,0,1,46,5,3,4,3,1,0,82,0.93902439,50,0.980392157,2,0.5,11,7,1,0,4,0,0
0,0,0,50,7,1,4,1,3,0,101,0.920792079,73,1,0,0,6,4,3,0,3,0,0
0,0,0,48,4,1,2,0,2,1,131,0.885496183,84,0.933333333,2,0.222222222,11,6,3,0,2,0,0
0,0,0,54,7,2,5,2,2,0,147,0.93877551,104,0.981132075,2,0.285714286,12,10,2,0,3,0,0
0,0,0,51,3,1,3,1,0,0,90,0.933333333,65,0.984848485,1,0.333333333,8,7,0,0,2,0,0
0,0,0,54,1,0,1,0,0,0,103,0.893203883,64,0.96969697,0,0,11,7,1,0,1,0,0
1,0,0,56,4,2,1,0,3,2,116,0.913793103,82,1,1,0.166666667,11,8,2,0,4,0,0
1,0,0,53,4,1,3,1,1,0,122,0.942622951,96,0.979591837,2,0.666666667,7,6,0,0,1,0,0
1,0,0,56,3,2,1,0,2,2,109,0.926605505,80,0.963855422,0,0,7,6,0,0,2,0,0
0,0,0,51,4,1,1,0,3,1,92,0.934782609,65,0.984848485,1,0.25,7,7,1,0,2,0,0
1,0,0,51,6,1,3,1,3,0,108,0.925925926,81,0.964285714,2,0.4,7,5,2,0,3,0,0
0,0,0,45,1,1,1,1,0,0,95,0.926315789,65,0.970149254,3,0.6,10,9,0,0,1,0,0
3,0,0,52,4,2,3,1,1,1,106,0.933962264,81,0.975903614,1,0.2,10,7,2,0,3,0,0
0,0,0,48,4,0,3,0,1,0,99,0.848484848,63,0.984375,1,0.111111111,14,11,4,0,3,0,0
1,0,0,51,8,2,7,1,1,1,96,0.979166667,64,1,2,0.5,10,7,2,0,6,0,0
0,0,0,53,4,3,3,3,0,0,116,0.931034483,79,0.963414634,2,0.666666667,9,5,0,0,3,0,0
3,0,0,51,6,4,5,4,0,0,105,0.923809524,75,0.974025974,3,0.5,4,4,1,0,6,0,0
1,0,0,47,2,1,2,1,0,0,90,0.877777778,60,0.967741935,1,0.2,11,10,0,0,2,0,0
0,0,0,55,3,0,2,0,1,0,127,0.94488189,95,0.989583333,1,0.2,10,6,2,0,3,0,0
3,0,0,53,4,3,4,3,0,0,105,0.952380952,73,0.960526316,4,0.8,12,11,0,0,3,0,0
1,0,0,46,3,1,3,1,0,0,85,0.929411765,56,0.98245614,2,0.5,13,7,0,0,2,0,0
3,0,0,41,3,2,3,2,0,0,68,0.882352941,43,0.955555556,1,0.25,9,4,1,0,3,0,0
0,0,0,41,2,2,2,2,0,0,98,0.897959184,66,0.970588235,1,0.166666667,9,8,1,0,2,0,0
0,0,0,50,2,0,1,0,1,0,109,0.926605505,74,0.961038961,1,0.333333333,11,6,0,0,0,0,0
3,0,0,47,10,3,7,2,3,1,75,0.96,49,0.98,1,0.333333333,8,4,0,0,5,0,0
0,0,1,48,1,0,1,0,0,0,89,0.887640449,61,0.983870968,0,0,10,4,1,0,0,0,0
3,0,0,51,6,2,4,1,2,1,84,0.928571429,64,0.96969697,3,0.5,7,7,2,0,4,0,0
0,0,0,43,3,0,3,0,0,0,82,0.914634146,61,0.953125,0,0,6,4,1,0,2,0,0
0,0,0,46,2,1,2,1,0,0,105,0.942857143,72,0.98630137,2,0.333333333,3,3,0,0,1,0,0
0,0,0,52,7,2,6,1,1,1,139,0.920863309,96,0.96,2,0.285714286,11,9,4,0,5,0,0
0,0,0,53,4,1,3,0,1,1,101,0.96039604,73,1,1,0.2,9,8,2,0,3,0,0
3,0,0,53,5,1,3,1,2,0,122,0.926229508,89,0.978021978,0,0,10,9,0,0,3,0,0
3,0,0,54,5,2,5,2,0,0,96,0.875,65,0.984848485,2,0.222222222,5,2,3,0,4,0,0
3,0,0,48,8,2,6,2,2,0,123,0.869918699,79,0.9875,4,0.285714286,12,10,9,0,6,0,0
3,0,0,47,4,2,4,2,0,0,79,0.886075949,50,0.980392157,0,0,7,6,0,0,2,0,0
3,0,0,50,4,2,2,1,2,1,135,0.918518519,99,0.961165049,0,0,18,13,1,0,2,0,0
3,0,1,45,6,4,2,1,4,3,121,0.958677686,81,0.987804878,2,0.4,12,10,0,0,4,0,0
0,0,0,46,3,1,3,1,0,0,94,0.957446809,66,1,1,0.5,8,6,0,0,3,0,0
3,0,0,54,5,2,4,1,1,1,106,0.91509434,72,0.98630137,3,0.375,6,3,3,0,3,0,0
0,0,1,48,3,1,2,1,1,0,113,0.946902655,79,0.975308642,4,0.8,9,5,0,0,2,0,0
0,1,0,53,2,0,2,0,0,0,95,0.926315789,70,1,2,0.25,15,12,2,0,2,0,0
3,0,0,47,5,2,2,1,3,1,77,0.896103896,49,0.960784314,4,0.571428571,7,5,3,0,4,0,0
3,0,1,45,2,1,2,1,0,0,71,0.929577465,48,0.979591837,1,0.333333333,14,10,1,0,1,0,0
0,0,0,57,2,0,2,0,0,0,120,0.933333333,89,0.978021978,2,0.4,4,3,0,0,0,0,0
3,0,0,53,5,2,1,1,4,1,98,0.908163265,69,0.971830986,1,0.166666667,6,6,2,0,4,0,0
3,0,0,51,6,2,4,2,2,0,105,0.942857143,67,0.971014493,2,0.4,11,9,3,0,3,0,0
3,0,0,48,9,3,5,2,4,1,127,0.960629921,89,0.978021978,2,0.5,9,8,1,0,6,0,0
0,0,0,56,5,0,5,0,0,0,164,0.945121951,123,0.976190476,2,0.333333333,8,6,2,0,2,0,0
0,0,0,49,0,0,0,0,0,0,96,0.916666667,72,0.96,0,0,11,7,1,0,0,0,0
3,0,1,40,2,0,1,0,1,0,101,0.871287129,68,0.944444444,0,0,15,10,0,0,1,0,0
3,0,0,49,4,2,2,1,2,1,91,0.956043956,68,0.985507246,1,0.5,9,6,0,0,3,0,0
0,0,0,49,0,0,0,0,0,0,85,0.964705882,64,1,0,0,12,9,0,0,0,0,0
0,0,0,57,3,1,2,1,1,0,115,0.965217391,82,1,3,0.75,8,6,1,0,1,0,0
0,0,0,55,5,1,4,1,1,0,102,0.911764706,66,0.970588235,0,0,9,7,1,0,2,0,0
0,0,0,58,4,1,4,1,0,0,152,0.888157895,105,0.972222222,3,0.25,12,10,3,0,4,0,0
3,0,0,48,2,2,1,1,1,1,82,0.963414634,52,1,1,0.333333333,11,10,0,0,2,0,0
3,0,0,53,3,1,2,1,1,0,100,0.92,68,0.971428571,2,0.333333333,5,4,2,0,2,0,0
0,0,1,41,5,2,5,2,0,0,96,0.947916667,69,1,3,0.6,23,16,2,0,5,0,0
0,0,0,61,7,0,6,0,1,0,123,0.93495935,84,0.965517241,1,0.166666667,10,10,2,0,3,0,0
0,0,1,56,6,1,5,1,1,0,166,0.945783133,125,1,1,0.142857143,22,16,4,0,5,0,0
3,0,0,51,8,4,7,3,1,1,90,0.877777778,62,0.984126984,0,0,5,4,3,0,7,0,0
0,0,0,48,3,0,1,0,2,0,93,0.892473118,59,0.951612903,2,0.4,17,10,1,0,2,0,0
3,0,0,56,4,2,3,1,1,1,105,0.933333333,76,0.974358974,0,0,11,7,0,0,4,0,0
0,0,0,50,4,0,2,0,2,0,104,0.913461538,76,0.987012987,1,0.2,7,5,1,0,1,0,0
3,0,0,43,7,3,6,2,0,0,71,0.901408451,43,0.955555556,2,0.4,11,11,1,1,7,1,0
3,0,0,49,3,2,2,1,1,1,108,0.925925926,77,0.950617284,0,0,5,3,0,0,2,0,0
3,0,0,54,11,1,9,1,1,0,95,0.936842105,61,0.968253968,2,0.4,9,7,3,1,8,0,0
3,0,0,47,8,1,5,0,3,1,112,0.901785714,74,0.948717949,2,0.666666667,9,6,3,0,5,0,0
0,0,0,59,3,0,1,0,2,0,127,0.94488189,94,1,2,0.25,6,5,3,0,2,0,0
0,0,0,47,5,1,4,1,1,0,87,0.896551724,56,0.965517241,5,0.454545455,11,10,5,0,1,0,0
3,0,0,49,6,3,6,3,0,0,76,0.986842105,59,0.983333333,2,1,8,8,0,0,4,0,0
3,0,0,47,3,2,3,2,0,0,83,0.927710843,54,0.964285714,4,0.8,9,8,0,0,3,0,0
3,0,0,52,5,2,3,1,2,1,109,0.944954128,77,1,4,0.8,9,5,1,0,2,0,0
3,0,1,50,5,2,3,2,1,0,96,0.958333333,58,0.966666667,1,0.5,5,2,0,0,3,0,0
3,0,1,54,6,4,5,3,1,1,114,0.956140351,83,0.988095238,2,0.666666667,10,8,1,0,5,0,0
3,0,0,59,5,2,5,2,0,0,109,0.944954128,79,0.975308642,0,0,7,6,2,0,5,0,0
0,0,0,50,6,0,5,0,1,0,102,0.921568627,66,0.985074627,2,0.333333333,6,4,3,0,5,0,0
3,0,0,53,9,2,8,2,1,0,105,0.914285714,70,0.972222222,3,0.5,10,7,3,0,6,0,0
0,0,0,52,2,0,1,0,1,0,94,0.893617021,60,0.952380952,2,0.285714286,11,9,0,0,2,0,0
0,0,0,53,16,1,8,1,8,0,101,0.871287129,67,0.985294118,3,0.214285714,6,5,8,0,8,0,0
3,0,0,49,4,4,4,4,0,0,95,0.947368421,69,0.985714286,1,0.5,13,9,0,0,4,0,0
3,0,0,48,6,4,4,2,2,2,123,0.918699187,82,0.976190476,1,0.25,15,15,1,0,5,0,0
3,0,0,48,6,1,2,1,4,0,102,0.960784314,69,1,1,0.25,11,7,1,0,3,0,0
0,0,0,44,5,1,4,1,1,0,91,0.901098901,61,0.983870968,1,0.25,12,8,2,0,4,0,0
3,0,1,51,3,2,2,1,1,1,105,0.914285714,79,0.963414634,3,0.75,10,10,0,0,2,0,0
0,0,0,43,7,0,5,0,2,0,81,0.864197531,54,0.964285714,1,0.166666667,10,9,3,0,5,0,0
0,0,0,49,5,0,2,0,3,0,98,0.948979592,78,1,2,0.4,14,12,2,0,2,0,0
0,0,0,49,0,0,0,0,0,0,80,0.875,52,0.928571429,1,0.25,11,10,0,0,0,0,0
3,0,0,54,7,2,6,2,1,0,105,0.933333333,78,0.975,1,0.25,8,8,1,0,6,0,0
0,0,0,48,3,1,2,1,1,0,73,0.904109589,45,0.97826087,2,0.4,7,4,0,0,2,0,0
3,0,0,46,5,1,4,1,1,0,80,0.8875,52,0.981132075,2,0.285714286,7,5,3,0,4,0,0
0,0,0,53,8,1,4,0,4,1,143,0.916083916,100,0.980392157,3,0.3,9,6,3,0,6,0,0
3,0,0,46,4,3,4,3,0,0,90,0.922222222,63,0.969230769,0,0,8,6,1,0,3,0,0
0,0,2,46,2,0,1,0,1,0,91,0.912087912,70,0.972222222,3,0.5,7,4,0,0,0,0,0
3,0,1,51,9,1,5,1,4,0,99,0.888888889,65,0.984848485,2,0.25,13,10,5,0,8,0,0
3,0,0,53,5,4,4,3,1,1,107,0.953271028,65,0.970149254,3,0.75,6,4,1,0,5,0,0
3,0,0,53,4,1,4,1,0,0,96,0.947916667,66,0.985074627,1,0.25,9,8,1,0,3,0,0
3,0,0,47,5,2,3,2,2,0,73,0.95890411,52,0.981132075,3,1,12,11,0,0,2,0,0
0,0,0,51,7,1,5,1,2,0,93,0.924731183,66,0.956521739,4,0.571428571,11,4,1,0,4,0,0
0,0,0,50,2,0,1,0,1,0,94,0.904255319,63,0.913043478,3,0.6,9,4,2,0,2,0,0
3,0,0,48,9,3,9,3,0,0,121,0.94214876,80,0.987654321,5,0.714285714,13,6,1,0,6,0,0
