matchResult,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,shootTotal,effectiveShootTotal,ownGoal,goalTotal,goalSuccessRate,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passSuccessRate,shortpassSuccessRate,longPassSuccessRate,bouncingLobPassSuccessRate,drivenGroundPassSuccessRate,throughPassSuccessRate,lobbedThroughPassSuccessRate,blockSuccessRate,tackleSuccessRate,shootSetPiece,shootPenaltyKick,effectiveShootTotal,goalPenaltyKick,ownGoal
3,0,0,0,0,66,1,49,5,3,0,2,0.4,0,0,1,0,2,1,2,0,1,1,0.933333333,0.972972973,0.25,0,1,0.833333333,0,0.142857143,0.727272727,2,1,3,1,0
3,0,0,0,0,59,4,52,7,6,0,2,0.285714286,1,0,0,0,7,2,0,0,0,0,0.87628866,1,0.142857143,1,0.8125,0.785714286,0,0.5,0.777777778,4,0,6,0,0
0,0,0,0,0,73,2,55,6,4,0,1,0.166666667,1,0,0,0,6,1,0,0,0,0,0.947368421,0.975,0.555555556,0,1,1,1,0,0.8,2,0,4,0,0
0,2,0,0,0,56,0,42,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0.916666667,0.96969697,0,0,0.8,0.75,0,0,0.8,0,0,1,0,0
0,1,0,0,0,58,1,48,3,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0.913978495,0.969230769,0.2,0,0.888888889,0.928571429,0,0.125,0.833333333,1,0,1,0,0
3,0,0,0,0,62,0,48,2,2,0,1,0.5,0,0,0,0,1,1,0,0,1,0,0.916666667,0.982758621,0.6,0,0.909090909,0.777777778,0,0.5,0.714285714,0,1,2,0,0
3,1,0,0,0,73,0,55,5,3,0,2,0.4,1,0,0,0,1,1,4,1,0,0,0.934579439,0.986666667,0.5,0,0.9375,0.833333333,0,0,0.8,0,0,3,0,0
1,1,1,0,0,56,0,48,3,3,0,2,0.666666667,0,1,0,0,2,2,0,0,0,0,0.956896552,0.987804878,0.5,0,1,0.923076923,0,0.166666667,0.8,0,0,3,0,0
0,1,0,0,0,60,0,48,3,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0.923913043,1,0.5,0,1,0.75,0,0,0.636363636,0,0,1,0,0
3,0,0,0,0,53,2,47,5,3,0,3,0.6,1,1,0,0,4,3,1,0,0,0,0.945205479,1,0.5,1,1,0.75,0,0,0.25,2,0,3,0,0
1,0,0,0,0,52,3,47,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.882352941,0.957746479,0,0,0.888888889,1,1,0,0.555555556,3,0,1,0,0
3,2,0,0,1,77,1,59,9,8,0,4,0.444444444,1,0,0,0,6,3,2,1,0,0,0.962962963,0.964285714,1,0,1,1,0,0,0.416666667,1,0,8,0,0
3,2,0,0,0,61,1,48,7,5,0,3,0.428571429,1,0,1,0,4,2,2,0,1,1,0.944444444,0.984615385,0.666666667,0,1,0.833333333,1,0,0.785714286,2,1,5,1,0
0,1,0,0,0,51,3,48,6,4,0,1,0.166666667,2,0,0,0,4,0,2,1,0,0,0.910891089,0.985294118,0.454545455,0,1,1,0,0,1,3,0,4,0,0
3,1,0,0,0,81,7,54,13,8,0,2,0.153846154,1,0,0,0,8,2,5,0,0,0,0.858333333,0.974358974,0.142857143,0,0.833333333,0.95,1,0,0.75,7,0,8,0,0
0,0,0,0,0,66,1,51,3,2,0,1,0.333333333,1,1,1,0,2,1,1,0,0,0,0.953703704,1,0.5,0,1,0.842105263,0,0.166666667,0.888888889,2,0,2,0,0
3,2,0,0,0,56,1,46,5,5,0,4,0.8,0,0,0,0,2,2,0,1,2,1,0.930232558,0.983870968,0.5,1,0.833333333,1,0,0,0.75,1,2,5,1,0
3,1,1,0,0,58,0,48,2,2,0,2,1,0,0,0,0,1,1,1,1,0,0,0.927835052,0.902777778,1,0,1,1,0,0.285714286,0.857142857,0,0,2,0,0
0,1,0,0,0,58,0,46,4,3,0,2,0.5,1,1,0,0,3,2,1,0,0,0,0.93877551,0.986486486,0.333333333,0,1,0.916666667,0,0,0.444444444,0,0,3,0,0
0,0,0,0,0,84,0,50,5,2,0,2,0.4,0,0,1,0,3,2,2,0,0,0,0.939393939,0.969387755,0.4,0,0.928571429,0.933333333,0,0.153846154,0.571428571,1,0,2,0,0
0,2,0,0,1,64,0,47,2,2,0,1,0.5,0,0,0,0,0,0,2,1,0,0,0.930232558,0.96875,0.4,0,1,0.857142857,1,0.166666667,0.692307692,0,0,2,0,0
3,0,0,0,0,65,1,52,6,4,0,3,0.5,0,0,0,0,4,3,2,0,0,0,0.936170213,1,0.5,0,1,0.8,0,0,0.692307692,1,0,4,0,0
3,1,0,0,1,50,0,47,3,3,0,1,0.333333333,0,0,0,0,2,1,0,0,1,0,0.941176471,0.982758621,1,0,0.923076923,0.75,1,0.666666667,0.583333333,0,1,3,0,0
0,2,0,0,1,56,0,48,6,3,0,0,0,1,0,0,0,4,0,2,0,0,0,0.904255319,0.938461538,0.4,0,1,0.928571429,0,0.111111111,0.7,0,0,3,0,0
0,1,1,0,0,54,2,50,4,2,0,1,0.25,2,1,0,0,4,1,0,0,0,0,0.908256881,1,0.454545455,0,1,0.769230769,0,0,0.555555556,2,0,2,0,0
0,1,0,0,0,59,6,49,8,8,0,0,0,0,0,0,0,6,0,2,0,0,0,0.829545455,0.929824561,0.181818182,0,0.8,1,0,0,0.9,6,0,8,0,0
1,1,0,0,0,55,0,45,2,1,0,1,0.5,0,0,0,0,2,1,0,0,0,0,0.929577465,1,0,0,1,0.6,0,0.111111111,0.833333333,0,0,1,0,0
0,0,0,0,0,68,1,52,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.939393939,1,0.2,0,1,0.928571429,0,0,1,1,0,1,0,0
1,2,0,0,0,58,1,48,3,3,0,2,0.666666667,0,0,0,0,2,1,1,1,0,0,0.863636364,0.968253968,0.142857143,0,1,0.818181818,0,0.142857143,0.6,1,0,3,0,0
0,1,1,0,0,71,0,46,2,1,0,1,0.5,0,0,0,0,2,1,0,0,0,0,0.937007874,0.956521739,0.75,0,0.941176471,0.857142857,0,0,0.692307692,0,0,1,0,0
3,1,0,0,0,57,0,47,3,3,0,3,1,1,1,0,0,2,2,1,1,0,0,0.962962963,0.967741935,1,0,1,0.9,0,0.111111111,0.454545455,0,0,3,0,0
0,0,1,0,0,68,0,53,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0.949494949,0.971428571,0.625,0,1,1,0,0,0.857142857,0,0,0,0,0
0,1,1,0,0,69,1,51,4,3,0,1,0.25,0,0,0,0,3,1,1,0,0,0,0.979591837,0.98630137,0.666666667,0,1,1,0,0,0.7,1,0,3,0,0
3,0,0,0,0,75,3,56,10,8,0,2,0.2,1,0,0,0,6,1,3,0,1,1,0.904347826,0.965909091,0.2,0,1,0.75,0,0,0.5,3,1,8,1,0
0,0,0,0,0,53,2,50,3,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0.879518072,0.946428571,0.2,0,0.875,0.857142857,0,0.111111111,0.875,2,0,2,0,0
3,0,0,0,0,41,0,44,4,4,0,4,1,0,0,0,0,3,3,1,1,0,0,0.926829268,0.964285714,0.6,0.5,1,0.928571429,0,0,0.9,0,0,4,0,0
0,1,1,0,1,66,2,52,5,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0.898876404,0.95,0.2,0,0.909090909,0.916666667,1,0,0.769230769,2,0,4,0,0
3,1,0,0,1,66,0,47,4,3,0,3,0.75,0,0,0,0,1,1,3,2,0,0,0.93258427,0.969230769,0.75,0,1,0.7,0,0,0.705882353,0,0,3,0,0
3,0,0,0,0,61,0,44,10,4,0,2,0.2,1,0,1,0,7,2,3,0,0,0,0.916666667,0.967741935,0.666666667,1,1,0.75,0,0,0.666666667,1,0,4,0,0
0,1,0,0,0,94,0,49,9,5,0,2,0.222222222,3,0,0,0,7,1,2,1,0,0,0.956521739,0.979591837,0.5,0,1,1,0,0,0.571428571,0,0,5,0,0
0,1,0,0,1,62,1,51,5,5,0,3,0.6,1,0,0,0,4,2,1,1,0,0,0.956989247,1,0.25,0,1,0.9375,0,0.222222222,0.75,1,0,5,0,0
3,1,0,0,0,79,1,46,4,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0.893203883,0.972972973,0.2,0,0.888888889,0.833333333,0.5,0.2,0.928571429,1,0,3,0,0
0,0,0,0,0,62,2,55,5,3,0,1,0.2,2,1,0,0,3,1,2,0,0,0,0.909090909,0.970149254,0.333333333,0,1,0.909090909,0,0,0.7,2,0,3,0,0
1,2,0,0,1,79,1,55,3,2,0,2,0.666666667,0,0,0,0,2,1,0,0,1,1,0.958333333,0.977011494,0,0,1,0.875,0,0,0.555555556,1,1,2,1,0
3,1,0,0,0,62,1,56,10,7,0,2,0.2,1,1,0,0,9,2,1,0,0,0,0.922330097,0.945945946,0.333333333,0,1,0.888888889,1,0.1,0.888888889,1,0,7,0,0
0,0,0,0,0,58,2,46,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0.879518072,0.942307692,0.375,0,1,0.933333333,0,0,0.75,2,0,2,0,0
1,1,0,0,0,70,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961904762,1,1,0,0.923076923,0.8125,1,0,0.875,0,0,0,0,0
0,1,0,0,0,57,0,49,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.941860465,0.96969697,0.333333333,0,1,0.888888889,0,0,0.6,0,0,0,0,0
3,0,0,0,0,73,2,55,9,8,0,2,0.222222222,1,0,0,0,7,2,1,0,0,0,0.947368421,1,0.4,1,1,0.857142857,0,0,0.7,2,0,8,0,0
0,0,1,0,0,56,2,49,2,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0.917525773,1,0.428571429,0,1,0.7,0,0.1,0.9,2,0,1,0,0
3,0,0,0,0,64,3,50,8,8,0,3,0.375,1,1,0,0,8,3,0,0,0,0,0.923076923,0.984126984,0.166666667,0,1,0.923076923,1,0,0.888888889,3,0,8,0,0
1,0,0,0,0,68,2,53,5,4,0,2,0.4,0,0,0,0,4,2,1,0,0,0,0.913043478,1,0.333333333,0,0.923076923,0.894736842,0,0,0.846153846,2,0,4,0,0
0,0,0,0,0,63,2,49,7,3,0,1,0.142857143,1,0,0,0,3,1,4,0,0,0,0.934065934,1,0.2,0,1,1,0.5,0,0.777777778,2,0,3,0,0
3,1,1,0,0,53,0,46,3,3,1,2,0.666666667,0,0,0,0,2,2,1,0,0,0,0.913043478,0.954545455,0.5,0,0.857142857,0.928571429,0,0.125,0.923076923,0,0,3,0,1
0,0,0,0,0,59,0,44,3,2,0,1,0.333333333,0,0,0,0,1,1,2,0,0,0,0.928571429,0.981481481,0.5,0,1,0.916666667,0,0,0.8,0,0,2,0,0
3,2,0,0,0,84,0,53,8,6,0,3,0.375,2,1,1,1,7,2,1,1,0,0,0.923076923,0.961904762,0.333333333,0,0.928571429,0.941176471,0,0.090909091,0.7,1,0,6,0,0
3,0,0,0,0,59,1,51,7,5,0,2,0.285714286,2,0,0,0,7,2,0,0,0,0,0.949494949,1,0.333333333,0,1,0.866666667,0,0.125,1,1,0,5,0,0
1,1,0,0,1,50,0,48,2,2,0,1,0.5,0,0,0,0,2,1,0,0,0,0,0.906976744,0.968253968,0,0,1,0.692307692,1,0.25,1,0,0,2,0,0
3,1,0,0,0,63,1,51,11,6,0,3,0.272727273,1,0,0,0,8,1,3,2,0,0,0.968085106,0.984615385,0.666666667,1,1,0.944444444,1,0,0.727272727,1,0,6,0,0
1,2,0,0,0,57,2,48,6,4,0,1,0.166666667,2,0,0,0,6,1,0,0,0,0,0.922222222,0.966101695,0.6,0,0.916666667,0.857142857,0,0,0.571428571,2,0,4,0,0
3,2,0,0,0,63,0,49,4,3,0,1,0.25,0,0,0,0,4,1,0,0,0,0,0.954022989,0.967213115,1,0,0.909090909,0.928571429,0,0.142857143,0.692307692,0,0,3,0,0
3,1,0,0,0,70,2,58,5,4,0,3,0.6,0,0,0,0,5,3,0,0,0,0,0.941176471,0.987341772,0,0,1,1,0,0.222222222,0.666666667,2,0,4,0,0
3,1,0,0,0,56,1,45,2,2,0,2,1,1,1,0,0,2,2,0,0,0,0,0.898734177,0.924528302,0.5,0,1,0.857142857,0,0.142857143,0.909090909,1,0,2,0,0
3,0,0,0,0,61,2,48,6,4,0,1,0.166666667,2,0,0,0,3,1,3,0,0,0,0.918367347,0.986111111,0.428571429,0,0.888888889,0.8,0,0.142857143,0.833333333,2,0,4,0,0
0,2,0,0,0,66,3,50,6,3,0,1,0.166666667,1,0,0,0,5,1,1,0,0,0,0.932692308,0.972222222,0.333333333,1,0.9,1,0,0,0.714285714,3,0,3,0,0
3,0,0,0,0,74,4,56,4,3,0,2,0.5,0,0,0,0,4,2,0,0,0,0,0.909090909,0.954022989,0.444444444,0,1,0.833333333,0,0.5,0.875,4,0,3,0,0
3,1,1,0,0,47,1,46,7,6,0,4,0.571428571,1,0,0,0,6,3,1,1,0,0,0.965909091,0.985074627,1,0,1,0.846153846,1,0,0.7,1,0,6,0,0
3,1,0,0,0,54,1,48,7,6,0,4,0.571428571,0,0,0,0,6,4,1,0,0,0,0.9125,0.979591837,1,0,1,0.791666667,0,0.222222222,0.882352941,1,0,6,0,0
3,2,0,0,0,59,1,48,6,5,0,2,0.333333333,0,0,0,0,5,1,1,1,0,0,0.943820225,0.982142857,0.666666667,0,0.909090909,0.944444444,0,0,0.5,1,0,5,0,0
3,1,0,0,0,82,0,53,4,2,0,2,0.5,0,0,0,0,3,2,1,0,0,0,0.93877551,0.98245614,0.5,0,0.933333333,0.666666667,1,0.2,1,0,0,2,0,0
3,2,0,0,0,76,5,48,9,9,0,1,0.111111111,1,0,0,0,7,0,2,1,0,0,0.903703704,0.977777778,0.2,0,1,0.863636364,0,0,0.714285714,5,0,9,0,0
3,0,0,0,0,89,1,49,7,5,0,2,0.285714286,2,0,0,0,7,2,0,0,0,0,0.938461538,0.96039604,0.5,0,1,0.833333333,0,0,0.888888889,1,0,5,0,0
3,0,0,0,0,64,4,51,6,5,0,2,0.333333333,1,1,1,0,5,2,1,0,0,0,0.865979381,0.953125,0.142857143,0,1,0.666666667,1,0,0.9,5,0,5,0,0
0,1,0,0,0,67,0,53,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0.944444444,1,0.333333333,0,0.888888889,0.75,1,0,0.909090909,0,0,1,0,0
0,0,0,0,0,55,8,53,16,8,0,1,0.0625,3,0,0,0,8,1,8,0,0,0,0.871287129,0.985294118,0.214285714,0,1,0.916666667,0,0,0.833333333,8,0,8,0,0
3,1,0,1,0,67,1,55,5,3,0,2,0.4,0,0,0,0,3,1,2,1,0,0,0.934579439,0.974358974,0.666666667,0,1,0.769230769,0,0,0.727272727,1,0,3,0,0
3,0,0,0,0,71,2,60,5,2,0,1,0.2,0,0,0,0,4,1,1,0,0,0,0.900900901,0.987951807,0.428571429,0,0.9,0.545454545,0,0,0.75,2,0,2,0,0
0,1,0,0,0,76,1,49,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0.9,0.946236559,0.5,0,0.923076923,0.823529412,0,0.333333333,0.846153846,1,0,1,0,0
3,0,1,0,0,94,4,55,9,7,0,2,0.222222222,0,0,1,0,5,2,3,0,0,0,0.939189189,1,0,1,1,0.9375,0,0,0.714285714,5,0,7,0,0
3,1,0,0,0,49,1,45,4,3,0,1,0.25,1,0,0,0,3,1,1,0,0,0,0.936708861,1,0.6,0,0.857142857,0.916666667,1,0.222222222,0.8125,1,0,3,0,0
3,0,0,0,0,50,2,44,2,2,0,1,0.5,0,0,0,0,1,1,1,0,0,0,0.901408451,1,0.375,0,1,0.909090909,0,0,0.722222222,2,0,2,0,0
3,1,0,0,1,78,0,60,6,4,0,1,0.166666667,0,0,0,0,3,1,3,0,0,0,0.947368421,0.947916667,0.666666667,0,1,0.952380952,0,0,0.727272727,0,0,4,0,0
3,0,0,0,0,59,0,46,6,4,0,3,0.5,0,0,0,0,6,3,0,0,0,0,0.9625,0.982758621,1,0,1,0.818181818,1,0,0.777777778,0,0,4,0,0
3,1,0,0,1,56,2,48,7,6,0,3,0.428571429,1,1,0,0,5,3,2,0,0,0,0.93,0.970149254,0.5,0,1,0.85,1,0,0.888888889,2,0,6,0,0
0,1,0,0,0,52,2,51,7,6,0,0,0,3,0,0,0,3,0,4,0,0,0,0.933962264,0.97260274,0.714285714,0,1,0.875,1,0.25,0.5,2,0,6,0,0
3,1,0,0,0,56,1,46,3,1,0,1,0.333333333,0,0,0,0,2,1,1,0,0,0,0.911111111,0.985074627,0,0,0.818181818,0.777777778,0,0,0.666666667,1,0,1,0,0
1,0,0,0,0,53,1,46,6,5,0,1,0.166666667,1,0,1,0,3,1,3,0,0,0,0.93258427,0.952380952,0.5,0,0.909090909,1,0,0,0.888888889,2,0,5,0,0
0,0,0,0,0,52,1,45,4,3,0,1,0.25,0,0,0,0,1,1,3,0,0,0,0.92,0.970588235,0.25,0,0.909090909,0.933333333,0.5,0.285714286,0.6,1,0,3,0,0
0,1,0,0,0,64,2,52,5,3,0,1,0.2,0,0,0,0,3,1,2,0,0,0,0.901960784,0.972222222,0.25,0,1,0.823529412,0,0.125,0.888888889,2,0,3,0,0
3,0,0,0,0,64,0,52,3,2,0,2,0.666666667,0,0,0,0,2,1,1,1,0,0,0.963636364,0.988372093,0.333333333,0,0.857142857,1,0,0.375,0.916666667,0,0,2,0,0
0,0,0,0,0,57,3,48,9,6,0,0,0,2,0,1,0,7,0,2,0,0,0,0.951219512,1,0.833333333,0,0.857142857,0.875,0,0.25,0.875,4,0,6,0,0
0,0,0,0,0,59,3,52,7,5,0,0,0,2,0,0,0,4,0,3,0,0,0,0.932038835,1,0.5,0,0.888888889,0.888888889,0,0,1,3,0,5,0,0
3,1,1,0,1,56,1,50,5,4,0,1,0.2,1,0,0,0,4,1,1,0,0,0,0.913043478,0.954545455,0.333333333,1,0.9,0.833333333,0,0.25,0.833333333,1,0,4,0,0
0,0,0,0,0,44,1,43,2,1,0,1,0.5,0,0,0,0,2,1,0,0,0,0,0.955223881,0.980392157,0.333333333,0,1,1,0,0,0.9,1,0,1,0,0
3,0,1,0,0,64,1,53,6,6,0,2,0.333333333,1,0,0,0,4,1,2,1,0,0,0.950980392,1,0.666666667,0,1,0.8,1,1,0.8,1,0,6,0,0
0,0,0,0,0,46,0,45,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.891304348,0.964912281,0.25,1,0.9,0.8125,1,0,0.8,1,0,0,0,0
3,1,0,0,0,53,0,46,3,3,0,2,0.666666667,0,0,0,0,3,2,0,0,0,0,0.941860465,0.983606557,0.25,1,1,0.928571429,1,0,0.785714286,0,0,3,0,0
3,1,0,0,0,61,1,48,4,4,0,3,0.75,0,0,0,0,3,2,1,1,0,0,0.95,0.985915493,0.5,0,0.909090909,0.933333333,0,0,0.9,1,0,4,0,0
3,1,1,0,0,62,4,50,6,4,0,2,0.333333333,2,1,0,0,6,2,0,0,0,0,0.914893617,0.984375,0.375,0,0.888888889,0.923076923,0,0,0.833333333,4,0,4,0,0
1,1,0,0,0,65,0,50,3,2,0,1,0.333333333,0,0,0,0,1,0,1,0,1,1,0.927083333,0.96875,0.571428571,0,1,0.875,1,0,0.6875,0,1,2,1,0
3,0,0,0,0,62,1,53,5,5,0,3,0.6,0,0,0,0,4,2,1,1,0,0,0.908163265,0.958333333,0.333333333,0,1,0.923076923,0,0.2,0.923076923,1,0,5,0,0
3,1,0,0,0,36,0,40,3,2,0,1,0.333333333,0,0,0,0,1,1,1,0,1,0,0.904761905,0.973684211,0.5,0,1,0.818181818,0,0.333333333,0.428571429,0,1,2,0,0
3,0,1,0,0,58,3,50,4,4,0,3,0.75,0,0,0,0,3,2,1,1,0,0,0.900990099,0.985714286,0,0,0.857142857,0.909090909,0,0.333333333,1,3,0,4,0,0
3,2,0,0,0,56,1,52,5,5,0,2,0.4,1,0,0,0,2,0,3,2,0,0,0.919191919,0.959459459,0.5,0,1,0.857142857,0,0.166666667,1,1,0,5,0,0
1,2,0,0,1,47,2,44,5,3,0,1,0.2,0,0,0,0,3,1,1,0,0,0,0.914634146,0.965517241,0,0,0.875,0.923076923,0,0.2,0.5,2,0,3,0,0
3,1,0,0,0,57,0,48,2,1,0,1,0.5,0,0,0,0,2,1,0,0,0,0,0.934065934,0.967213115,0.8,0,1,0.75,0,0,0.545454545,0,0,1,0,0
1,0,0,0,0,56,1,52,2,2,0,1,0.5,0,0,0,0,1,0,1,1,0,0,0.904761905,0.948275862,0,0,0.846153846,0.909090909,0,0.4,0.615384615,1,0,2,0,0
1,1,0,0,0,58,3,47,4,3,0,1,0.25,2,1,0,0,3,1,1,0,0,0,0.895348837,0.98245614,0.444444444,0,0.875,0.909090909,0,0,0.6,3,0,3,0,0
0,0,0,0,0,50,0,44,3,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0.944444444,0.984848485,1,0,1,0.692307692,0,0.285714286,0.6,0,0,3,0,0
0,0,0,0,0,61,1,56,6,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0.95412844,0.987341772,0.333333333,0,1,1,0,0,1,1,0,3,0,0
1,1,0,0,0,50,1,42,4,3,0,2,0.5,0,0,0,0,3,2,1,0,0,0,0.913580247,0.966101695,0,0,1,0.833333333,0,0,0.777777778,1,0,3,0,0
1,1,0,0,0,59,2,49,4,2,0,1,0.25,2,1,0,0,4,1,0,0,0,0,0.929292929,0.958333333,0.6,0,0.888888889,0.923076923,0,0,0.888888889,2,0,2,0,0
0,0,0,0,0,56,3,50,5,3,0,1,0.2,0,0,0,0,4,1,0,0,1,0,0.918918919,0.975308642,0,0,0.857142857,0.944444444,0,0.142857143,0.928571429,3,1,3,0,0
