matchResult,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,shootTotal,effectiveShootTotal,goalTotal,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
3,1,0,0,1,66,0,47,4,3,3,0,0,0,0,0,1,1,3,2,0,0,89,83,65,63,4,3,0,0,10,10,10,7,0,0,3,0,17,12
3,0,0,0,0,61,0,44,10,4,2,0,1,0,1,0,7,2,3,0,0,0,84,77,62,60,3,2,1,1,5,5,12,9,0,0,2,0,6,4
0,1,0,0,0,94,0,49,9,5,2,0,3,0,0,0,7,1,2,1,0,0,138,132,98,96,6,3,0,0,13,13,20,20,0,0,7,0,21,12
0,1,0,0,1,62,1,51,5,5,3,0,1,0,0,0,4,2,1,1,0,0,93,89,60,60,4,1,0,0,13,13,16,15,0,0,9,2,8,6
3,1,0,0,0,79,1,46,4,3,0,0,0,0,0,0,2,0,2,0,0,0,103,92,74,72,5,1,0,0,9,8,12,10,2,1,10,2,14,13
0,0,0,0,0,62,2,55,5,3,1,0,2,1,0,0,3,1,2,0,0,0,99,90,67,65,9,3,0,0,12,12,11,10,0,0,5,0,10,7
1,2,0,0,1,79,1,55,3,2,2,0,0,0,0,0,2,1,0,0,1,1,120,115,87,85,1,0,0,0,16,16,16,14,0,0,2,0,9,5
3,1,0,0,0,62,1,56,10,7,2,0,1,1,0,0,9,2,1,0,0,0,103,95,74,70,3,1,0,0,7,7,18,16,1,1,10,1,9,8
0,0,0,0,0,58,2,46,2,2,0,0,0,0,0,0,2,0,0,0,0,0,83,73,52,49,8,3,1,0,7,7,15,14,0,0,9,0,4,3
1,1,0,0,0,70,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,101,72,72,3,3,0,0,13,12,16,13,1,1,4,0,8,7
0,1,0,0,0,57,0,49,1,0,0,0,1,0,0,0,1,0,0,0,0,0,86,81,66,64,3,1,0,0,8,8,9,8,0,0,5,0,15,9
3,0,0,0,0,73,2,55,9,8,2,0,1,0,0,0,7,2,1,0,0,0,95,90,68,68,5,2,1,1,7,7,14,12,0,0,0,0,10,7
0,0,1,0,0,56,2,49,2,1,0,0,2,0,0,0,2,0,0,0,0,0,97,89,63,63,7,3,1,0,16,16,10,7,0,0,10,1,10,9
3,0,0,0,0,64,3,50,8,8,3,0,1,1,0,0,8,3,0,0,0,0,91,84,63,62,6,1,0,0,8,8,13,12,1,1,3,0,9,8
1,0,0,0,0,68,2,53,5,4,2,0,0,0,0,0,4,2,1,0,0,0,115,105,73,73,9,3,1,0,13,12,19,17,0,0,8,0,13,11
0,0,0,0,0,63,2,49,7,3,1,0,1,0,0,0,3,1,4,0,0,0,91,85,58,58,5,1,0,0,13,13,12,12,2,1,7,0,9,7
3,1,1,0,0,53,0,46,3,3,2,1,0,0,0,0,2,2,1,0,0,0,69,63,44,42,4,2,0,0,7,6,14,13,0,0,8,1,13,12
0,0,0,0,0,59,0,44,3,2,1,0,0,0,0,0,1,1,2,0,0,0,84,78,54,53,4,2,1,0,12,12,12,11,0,0,1,0,10,8
3,2,0,0,0,84,0,53,8,6,3,0,2,1,1,1,7,2,1,1,0,0,143,132,105,101,6,2,1,0,14,13,17,16,0,0,11,1,10,7
3,0,0,0,0,59,1,51,7,5,2,0,2,0,0,0,7,2,0,0,0,0,99,94,66,66,3,1,1,0,14,14,15,13,0,0,8,1,9,9
1,1,0,0,1,50,0,48,2,2,1,0,0,0,0,0,2,1,0,0,0,0,86,78,63,61,2,0,0,0,7,7,13,9,1,1,8,2,12,12
3,1,0,0,0,63,1,51,11,6,3,0,1,0,0,0,8,1,3,2,0,0,94,91,65,64,3,2,1,1,6,6,18,17,1,1,4,0,11,8
1,2,0,0,0,57,2,48,6,4,1,0,2,0,0,0,6,1,0,0,0,0,90,83,59,57,5,3,0,0,12,11,14,12,0,0,9,0,14,8
3,2,0,0,0,63,0,49,4,3,1,0,0,0,0,0,4,1,0,0,0,0,87,83,61,59,1,1,0,0,11,10,14,13,0,0,7,1,13,9
3,1,0,0,0,70,2,58,5,4,3,0,0,0,0,0,5,3,0,0,0,0,102,96,79,78,3,0,1,0,9,9,9,9,0,0,9,2,12,8
3,1,0,0,0,56,1,45,2,2,2,0,1,1,0,0,2,2,0,0,0,0,79,71,53,49,6,3,0,0,13,13,7,6,0,0,7,1,11,10
3,0,0,0,0,61,2,48,6,4,1,0,2,0,0,0,3,1,3,0,0,0,98,90,72,71,7,3,0,0,9,8,10,8,0,0,7,1,12,10
0,2,0,0,0,66,3,50,6,3,1,0,1,0,0,0,5,1,1,0,0,0,104,97,72,70,6,2,1,1,10,9,15,15,0,0,2,0,7,5
3,0,0,0,0,74,4,56,4,3,2,0,0,0,0,0,4,2,0,0,0,0,121,110,87,83,9,4,0,0,13,13,12,10,0,0,4,2,8,7
3,1,1,0,0,47,1,46,7,6,4,0,1,0,0,0,6,3,1,1,0,0,88,85,67,66,3,3,0,0,4,4,13,11,1,1,6,0,10,7
3,1,0,0,0,54,1,48,7,6,4,0,0,0,0,0,6,4,1,0,0,0,80,73,49,48,2,2,1,0,4,4,24,19,0,0,9,2,17,15
3,2,0,0,0,59,1,48,6,5,2,0,0,0,0,0,5,1,1,1,0,0,89,84,56,55,3,2,0,0,11,10,18,17,1,0,5,0,14,7
3,1,0,0,0,82,0,53,4,2,2,0,0,0,0,0,3,2,1,0,0,0,147,138,114,112,4,2,0,0,15,14,12,8,2,2,5,1,8,8
3,2,0,0,0,76,5,48,9,9,1,0,1,0,0,0,7,0,2,1,0,0,135,122,90,88,10,2,0,0,13,13,22,19,0,0,3,0,14,10
3,0,0,0,0,89,1,49,7,5,2,0,2,0,0,0,7,2,0,0,0,0,130,122,101,97,4,2,0,0,13,13,12,10,0,0,3,0,18,16
3,0,0,0,0,64,4,51,6,5,2,0,1,1,1,0,5,2,1,0,0,0,97,84,64,61,7,1,0,0,14,14,9,6,2,2,4,0,10,9
0,1,0,0,0,67,0,53,3,1,0,0,0,0,0,0,3,0,0,0,0,0,108,102,83,83,3,1,0,0,9,8,12,9,1,1,4,0,11,10
0,0,0,0,0,55,8,53,16,8,1,0,3,0,0,0,8,1,8,0,0,0,101,88,68,67,14,3,0,0,7,7,12,11,0,0,3,0,6,5
3,1,0,1,0,67,1,55,5,3,2,0,0,0,0,0,3,1,2,1,0,0,107,100,78,76,3,2,1,0,12,12,13,10,0,0,6,0,11,8
3,0,0,0,0,71,2,60,5,2,1,0,0,0,0,0,4,1,1,0,0,0,111,100,83,82,7,3,0,0,10,9,11,6,0,0,1,0,8,6
0,1,0,0,0,76,1,49,2,1,0,0,0,0,0,0,2,0,0,0,0,0,130,117,93,88,6,3,0,0,13,12,17,14,0,0,3,1,13,11
3,0,1,0,0,94,4,55,9,7,2,0,0,0,1,0,5,2,3,0,0,0,148,139,104,104,7,0,1,1,19,19,16,15,0,0,5,0,14,10
3,1,0,0,0,49,1,45,4,3,1,0,1,0,0,0,3,1,1,0,0,0,79,74,53,53,5,3,0,0,7,6,12,11,1,1,9,2,16,13
3,0,0,0,0,50,2,44,2,2,1,0,0,0,0,0,1,1,1,0,0,0,71,64,41,41,8,3,1,0,10,10,11,10,0,0,8,0,18,13
3,1,0,0,1,78,0,60,6,4,1,0,0,0,0,0,3,1,3,0,0,0,133,126,96,91,3,2,0,0,13,13,21,20,0,0,2,0,11,8
3,0,0,0,0,59,0,46,6,4,3,0,0,0,0,0,6,3,0,0,0,0,80,77,58,57,3,3,0,0,7,7,11,9,1,1,3,0,9,7
3,1,0,0,1,56,2,48,7,6,3,0,1,1,0,0,5,3,2,0,0,0,100,93,67,65,4,2,0,0,8,8,20,17,1,1,2,0,9,8
0,1,0,0,0,52,2,51,7,6,0,0,3,0,0,0,3,0,4,0,0,0,106,99,73,71,7,5,1,0,8,8,16,14,1,1,4,1,10,5
3,1,0,0,0,56,1,46,3,1,1,0,0,0,0,0,2,1,1,0,0,0,90,82,67,66,2,0,1,0,11,9,9,7,0,0,3,0,12,8
1,0,0,0,0,53,1,46,6,5,1,0,1,0,1,0,3,1,3,0,0,0,89,83,63,60,4,2,0,0,11,10,11,11,0,0,6,0,9,8
0,0,0,0,0,52,1,45,4,3,1,0,0,0,0,0,1,1,3,0,0,0,100,92,68,66,4,1,0,0,11,10,15,14,2,1,7,2,10,6
0,1,0,0,0,64,2,52,5,3,1,0,0,0,0,0,3,1,2,0,0,0,102,92,72,70,4,1,2,0,7,7,17,14,0,0,8,1,9,8
3,0,0,0,0,64,0,52,3,2,2,0,0,0,0,0,2,1,1,1,0,0,110,106,86,85,3,1,0,0,7,6,14,14,0,0,8,3,12,11
0,0,0,0,0,57,3,48,9,6,0,0,2,0,1,0,7,0,2,0,0,0,82,78,53,53,6,5,0,0,7,6,16,14,0,0,4,1,8,7
0,0,0,0,0,59,3,52,7,5,0,0,2,0,0,0,4,0,3,0,0,0,103,96,68,68,8,4,0,0,9,8,18,16,0,0,4,0,6,6
3,1,1,0,1,56,1,50,5,4,1,0,1,0,0,0,4,1,1,0,0,0,92,84,66,63,3,1,1,1,10,9,12,10,0,0,4,1,12,10
0,0,0,0,0,44,1,43,2,1,1,0,0,0,0,0,2,1,0,0,0,0,67,64,51,50,3,1,0,0,8,8,5,5,0,0,6,0,10,9
3,0,1,0,0,64,1,53,6,6,2,0,1,0,0,0,4,1,2,1,0,0,102,97,70,70,3,2,1,0,12,12,15,12,1,1,1,1,10,8
0,0,0,0,0,46,0,45,2,0,0,0,0,0,1,0,1,0,1,0,0,0,92,82,57,55,4,1,1,1,10,9,16,13,3,3,6,0,5,4
3,1,0,0,0,53,0,46,3,3,2,0,0,0,0,0,3,2,0,0,0,0,86,81,61,60,4,1,1,1,5,5,14,13,1,1,2,0,14,11
3,1,0,0,0,61,1,48,4,4,3,0,0,0,0,0,3,2,1,1,0,0,100,95,71,70,2,1,0,0,11,10,15,14,1,0,4,0,10,9
3,1,1,0,0,62,4,50,6,4,2,0,2,1,0,0,6,2,0,0,0,0,94,86,64,63,8,3,0,0,9,8,13,12,0,0,4,0,6,5
1,1,0,0,0,65,0,50,3,2,1,0,0,0,0,0,1,0,1,0,1,1,96,89,64,62,7,4,0,0,8,8,16,14,1,1,6,0,16,11
3,0,0,0,0,62,1,53,5,5,3,0,0,0,0,0,4,2,1,1,0,0,98,89,72,69,6,2,0,0,6,6,13,12,0,0,5,1,13,12
3,1,0,0,0,36,0,40,3,2,1,0,0,0,0,0,1,1,1,0,1,0,63,57,38,37,4,2,0,0,9,9,11,9,0,0,9,3,7,3
3,0,1,0,0,58,3,50,4,4,3,0,0,0,0,0,3,2,1,1,0,0,101,91,70,69,6,0,0,0,14,12,11,10,0,0,3,1,8,8
3,2,0,0,0,56,1,52,5,5,2,0,1,0,0,0,2,0,3,2,0,0,99,91,74,71,4,2,0,0,6,6,14,12,0,0,6,1,9,9
1,2,0,0,1,47,2,44,5,3,1,0,0,0,0,0,3,1,1,0,0,0,82,75,58,56,2,0,1,0,8,7,13,12,0,0,5,1,14,7
3,1,0,0,0,57,0,48,2,1,1,0,0,0,0,0,2,1,0,0,0,0,91,85,61,59,5,4,0,0,13,13,12,9,0,0,3,0,11,6
1,0,0,0,0,56,1,52,2,2,1,0,0,0,0,0,1,0,1,1,0,0,84,76,58,55,2,0,0,0,13,11,11,10,0,0,5,2,13,8
1,1,0,0,0,58,3,47,4,3,1,0,2,1,0,0,3,1,1,0,0,0,86,77,57,56,9,4,1,0,8,7,11,10,0,0,2,0,10,6
0,0,0,0,0,50,0,44,3,3,0,0,0,0,0,0,1,0,2,0,0,0,90,85,66,65,3,3,0,0,8,8,13,9,0,0,7,2,5,3
0,0,0,0,0,61,1,56,6,3,0,0,0,0,0,0,2,0,4,0,0,0,109,104,79,78,6,2,0,0,8,8,16,16,0,0,1,0,9,9
1,1,0,0,0,50,1,42,4,3,2,0,0,0,0,0,3,2,1,0,0,0,81,74,59,57,3,0,0,0,7,7,12,10,0,0,11,0,9,7
1,1,0,0,0,59,2,49,4,2,1,0,2,1,0,0,4,1,0,0,0,0,99,92,72,69,5,3,0,0,9,8,13,12,0,0,10,0,9,8
0,0,0,0,0,56,3,50,5,3,1,0,0,0,0,0,4,1,0,0,1,0,111,102,81,79,4,0,0,0,7,6,18,17,0,0,7,1,14,13
1,0,0,0,0,56,1,55,6,4,1,0,1,0,0,0,2,1,4,0,0,0,123,116,95,92,5,1,0,0,11,11,12,12,0,0,3,0,10,7
0,0,0,0,0,64,0,54,2,1,0,0,0,0,0,0,1,0,1,0,0,0,114,108,89,89,1,0,0,0,9,8,14,11,0,0,6,0,8,8
1,0,0,0,0,51,1,47,4,3,2,0,2,2,0,0,4,2,0,0,0,0,82,77,61,61,3,2,0,0,7,7,9,6,1,1,6,0,7,6
3,0,0,0,0,57,3,47,7,7,3,0,3,0,0,0,7,3,0,0,0,0,93,81,56,55,11,2,0,0,11,11,14,12,1,1,6,0,8,6
3,2,1,0,1,42,1,46,5,4,3,0,0,0,0,0,4,3,1,0,0,0,82,77,51,50,4,2,0,0,8,7,18,17,1,1,4,0,11,7
0,0,0,0,0,68,3,50,7,3,1,0,0,0,0,0,4,1,3,0,0,0,101,93,73,73,5,0,0,0,9,9,14,11,0,0,3,0,6,4
0,1,0,0,0,85,3,48,4,2,1,0,1,0,0,0,2,0,2,1,0,0,131,116,90,84,9,2,2,0,13,13,16,16,1,1,7,0,11,6
0,0,0,0,0,102,2,54,7,3,2,0,0,0,0,0,5,2,2,0,0,0,147,138,106,104,7,2,0,0,16,15,18,17,0,0,5,0,12,10
0,0,0,0,0,63,0,51,3,2,1,0,0,0,0,0,3,1,0,0,0,0,90,84,66,65,3,1,0,0,9,8,12,10,0,0,8,1,8,7
0,0,0,0,0,65,1,54,1,1,0,0,0,0,0,0,1,0,0,0,0,0,103,92,66,64,4,0,0,0,10,9,21,18,1,1,4,0,11,7
1,1,0,0,0,72,2,56,4,4,2,0,0,0,0,0,1,0,3,2,0,0,116,106,82,82,6,1,1,1,14,13,12,9,0,0,3,0,11,8
1,0,0,0,0,71,0,53,4,1,1,0,0,0,0,0,3,1,1,0,0,0,122,115,98,96,3,2,2,0,9,8,10,9,0,0,7,1,7,6
1,0,2,0,0,74,0,56,3,2,2,0,0,0,0,0,1,0,2,2,0,0,109,101,83,80,2,0,0,0,11,11,13,10,0,0,3,0,7,6
0,1,0,0,0,62,0,51,4,2,1,0,0,0,1,0,1,0,3,1,0,0,92,86,66,65,4,1,0,0,12,11,10,9,0,0,3,1,7,7
1,0,0,0,0,56,1,51,6,3,1,0,1,0,1,0,3,1,3,0,0,0,108,100,84,81,5,2,1,1,8,8,9,8,0,0,5,0,7,5
0,0,0,0,0,57,0,45,1,1,1,0,0,0,0,0,1,1,0,0,0,0,95,88,67,65,5,3,3,1,8,8,12,11,0,0,4,1,10,9
3,0,0,0,0,66,2,52,4,3,2,0,1,0,0,0,3,1,1,1,0,0,106,99,83,81,5,1,0,0,10,10,8,7,0,0,4,1,10,7
0,1,0,0,0,58,4,48,4,3,0,0,0,0,0,0,3,0,1,0,0,0,99,84,64,63,9,1,1,0,10,8,15,12,0,0,4,1,14,11
1,0,0,0,0,69,2,51,8,6,2,0,0,0,0,0,7,1,1,1,0,0,96,94,64,64,4,2,0,0,12,12,16,16,0,0,5,0,10,7
0,2,0,0,0,62,0,53,4,3,3,0,0,0,0,0,3,3,0,0,0,0,116,108,82,79,3,2,2,1,13,12,16,14,0,0,5,1,9,5
3,0,0,0,0,51,1,51,6,6,4,0,2,1,0,0,5,4,0,0,0,0,105,97,77,75,6,3,0,0,5,5,17,14,0,0,6,1,4,4
1,0,0,0,0,44,0,47,2,2,1,0,1,1,0,0,2,1,0,0,0,0,90,79,62,60,5,1,0,0,5,5,17,13,1,0,7,2,11,10
0,1,0,0,0,80,2,55,3,3,0,0,0,0,0,0,2,0,1,0,0,0,127,120,96,95,5,1,1,0,9,9,16,15,0,0,6,1,10,6
3,0,0,0,0,70,0,53,4,3,3,0,0,0,0,0,4,3,0,0,0,0,105,100,76,73,5,4,0,0,7,7,17,16,0,0,2,0,12,11
1,0,0,0,0,54,0,46,3,2,1,0,1,1,0,0,3,1,0,0,0,0,85,79,57,56,4,2,0,0,6,6,16,14,1,1,1,0,13,7
3,1,2,0,0,35,1,41,3,3,2,0,0,0,0,0,3,2,0,0,0,0,68,60,45,43,4,1,0,0,7,6,12,10,0,0,11,0,9,4
